id;servidor;timestamp;NOME;USO_MEMORIA (MB)
1;Servidor01;2025-12-08 12:02:17.630307;CarbonComponentScannerXPC;2.9
1;Servidor01;2025-12-08 12:02:17.630307;com.apple.geod;12.2
1;Servidor01;2025-12-08 12:02:17.630307;corespotlightd;57.9
1;Servidor01;2025-12-08 12:02:17.630307;chronod;32.1
1;Servidor01;2025-12-08 12:02:17.630307;milod;9.2
1;Servidor01;2025-12-08 12:02:17.630307;NotificationCenter;67.4
1;Servidor01;2025-12-08 12:02:17.630307;deleted;15.9
1;Servidor01;2025-12-08 12:02:17.630307;followupd;4.0
1;Servidor01;2025-12-08 12:02:17.630307;CMFSyncAgent;10.8
1;Servidor01;2025-12-08 12:02:17.630307;ContextStoreAgent;17.6
1;Servidor01;2025-12-08 12:02:17.630307;neagent;9.7
1;Servidor01;2025-12-08 12:02:17.630307;familycircled;10.4
1;Servidor01;2025-12-08 12:02:17.630307;StatusKitAgent;11.4
1;Servidor01;2025-12-08 12:02:17.630307;ScreenTimeAgent;13.8
1;Servidor01;2025-12-08 12:02:17.630307;Opera Helper;32.6
1;Servidor01;2025-12-08 12:02:17.630307;pbs;3.5
1;Servidor01;2025-12-08 12:02:17.630307;akd;23.1
1;Servidor01;2025-12-08 12:02:17.630307;localizationswitcherd;6.4
1;Servidor01;2025-12-08 12:02:17.630307;extensionkitservice;8.6
1;Servidor01;2025-12-08 12:02:17.630307;WallpaperImageExtension;9.8
1;Servidor01;2025-12-08 12:02:17.630307;WallpaperAerialsExtension;9.8
1;Servidor01;2025-12-08 12:02:17.630307;homed;36.3
1;Servidor01;2025-12-08 12:02:17.630307;imagent;25.7
1;Servidor01;2025-12-08 12:02:17.630307;spindump_agent;2.5
1;Servidor01;2025-12-08 12:02:17.630307;searchpartyuseragent;30.9
1;Servidor01;2025-12-08 12:02:17.630307;Opera Helper (Renderer);230.6
1;Servidor01;2025-12-08 12:02:17.630307;com.apple.FaceTime.FTConversationService;5.0
1;Servidor01;2025-12-08 12:02:17.630307;ContextService;6.1
1;Servidor01;2025-12-08 12:02:17.630307;appplaceholdersyncd;6.0
1;Servidor01;2025-12-08 12:02:17.630307;Opera Helper (Renderer);208.1
